premise,conclusion,item,category,blankpredicate,predicate_id,argument_id
Blackbirds are slithy.,All birds are slithy.,blackbird,bird,are,3,2
Blackbirds are mimsy.,All birds are mimsy.,blackbird,bird,are,3,3
Blackbirds are vorpal.,All birds are vorpal.,blackbird,bird,are,3,4
Blackbirds are frabjous.,All birds are frabjous.,blackbird,bird,are,3,5
Blackbirds use a wug.,All birds use a wug.,blackbird,bird,use a,4,1
Blackbirds use a fep.,All birds use a fep.,blackbird,bird,use a,4,2
Blackbirds use a blicket.,All birds use a blicket.,blackbird,bird,use a,4,3
Blackbirds use a jabberwock.,All birds use a jabberwock.,blackbird,bird,use a,4,4
Blackbirds use a tove.,All birds use a tove.,blackbird,bird,use a,4,5
Blackbirds love wugs.,All birds love wugs.,blackbird,bird,love,5,1
Blackbirds love feps.,All birds love feps.,blackbird,bird,love,5,2
Blackbirds love blickets.,All birds love blickets.,blackbird,bird,love,5,3
Blackbirds love jabberwocks.,All birds love jabberwocks.,blackbird,bird,love,5,4
Blackbirds love toves.,All birds love toves.,blackbird,bird,love,5,5
Blackbirds have wugs.,All birds have wugs.,blackbird,bird,have,6,1
Blackbirds have feps.,All birds have feps.,blackbird,bird,have,6,2
Blackbirds have blickets.,All birds have blickets.,blackbird,bird,have,6,3
Blackbirds have jabberwocks.,All birds have jabberwocks.,blackbird,bird,have,6,4
Blackbirds have toves.,All birds have toves.,blackbird,bird,have,6,5
Doves can dax.,All birds can dax.,dove,bird,can,1,1
Doves can wif.,All birds can wif.,dove,bird,can,1,2
Doves can blick.,All birds can blick.,dove,bird,can,1,3
Doves can gyre.,All birds can gyre.,dove,bird,can,1,4
Doves can gimble.,All birds can gimble.,dove,bird,can,1,5
Doves can be daxed.,All birds can be daxed.,dove,bird,can be,2,1
Doves can be wiffed.,All birds can be wiffed.,dove,bird,can be,2,2
Doves can be blicked.,All birds can be blicked.,dove,bird,can be,2,3
Doves can be gyred.,All birds can be gyred.,dove,bird,can be,2,4
Doves can be gimbled.,All birds can be gimbled.,dove,bird,can be,2,5
Doves are beamish.,All birds are beamish.,dove,bird,are,3,1
Doves are slithy.,All birds are slithy.,dove,bird,are,3,2
Doves are mimsy.,All birds are mimsy.,dove,bird,are,3,3
Doves are vorpal.,All birds are vorpal.,dove,bird,are,3,4
Doves are frabjous.,All birds are frabjous.,dove,bird,are,3,5
Doves use a wug.,All birds use a wug.,dove,bird,use a,4,1
Doves use a fep.,All birds use a fep.,dove,bird,use a,4,2
Doves use a blicket.,All birds use a blicket.,dove,bird,use a,4,3
Doves use a jabberwock.,All birds use a jabberwock.,dove,bird,use a,4,4
Doves use a tove.,All birds use a tove.,dove,bird,use a,4,5
Doves love wugs.,All birds love wugs.,dove,bird,love,5,1
Doves love feps.,All birds love feps.,dove,bird,love,5,2
Doves love blickets.,All birds love blickets.,dove,bird,love,5,3
Doves love jabberwocks.,All birds love jabberwocks.,dove,bird,love,5,4
Doves love toves.,All birds love toves.,dove,bird,love,5,5
Doves have wugs.,All birds have wugs.,dove,bird,have,6,1
Doves have feps.,All birds have feps.,dove,bird,have,6,2
Doves have blickets.,All birds have blickets.,dove,bird,have,6,3
Doves have jabberwocks.,All birds have jabberwocks.,dove,bird,have,6,4
Doves have toves.,All birds have toves.,dove,bird,have,6,5
Larks can dax.,All birds can dax.,lark,bird,can,1,1
Larks can wif.,All birds can wif.,lark,bird,can,1,2
Larks can blick.,All birds can blick.,lark,bird,can,1,3
Larks can gyre.,All birds can gyre.,lark,bird,can,1,4
Larks can gimble.,All birds can gimble.,lark,bird,can,1,5
Larks can be daxed.,All birds can be daxed.,lark,bird,can be,2,1
Larks can be wiffed.,All birds can be wiffed.,lark,bird,can be,2,2
Larks can be blicked.,All birds can be blicked.,lark,bird,can be,2,3
Larks can be gyred.,All birds can be gyred.,lark,bird,can be,2,4
Larks can be gimbled.,All birds can be gimbled.,lark,bird,can be,2,5
Larks are beamish.,All birds are beamish.,lark,bird,are,3,1
Larks are slithy.,All birds are slithy.,lark,bird,are,3,2
Larks are mimsy.,All birds are mimsy.,lark,bird,are,3,3
Larks are vorpal.,All birds are vorpal.,lark,bird,are,3,4
Larks are frabjous.,All birds are frabjous.,lark,bird,are,3,5
Larks use a wug.,All birds use a wug.,lark,bird,use a,4,1
Larks use a fep.,All birds use a fep.,lark,bird,use a,4,2
Larks use a blicket.,All birds use a blicket.,lark,bird,use a,4,3
Larks use a jabberwock.,All birds use a jabberwock.,lark,bird,use a,4,4
Larks use a tove.,All birds use a tove.,lark,bird,use a,4,5
Larks love wugs.,All birds love wugs.,lark,bird,love,5,1
Larks love feps.,All birds love feps.,lark,bird,love,5,2
Larks love blickets.,All birds love blickets.,lark,bird,love,5,3
Larks love jabberwocks.,All birds love jabberwocks.,lark,bird,love,5,4
Larks love toves.,All birds love toves.,lark,bird,love,5,5
Larks have wugs.,All birds have wugs.,lark,bird,have,6,1
Larks have feps.,All birds have feps.,lark,bird,have,6,2
Larks have blickets.,All birds have blickets.,lark,bird,have,6,3
Larks have jabberwocks.,All birds have jabberwocks.,lark,bird,have,6,4
Larks have toves.,All birds have toves.,lark,bird,have,6,5
Swallows can dax.,All birds can dax.,swallow,bird,can,1,1
Swallows can wif.,All birds can wif.,swallow,bird,can,1,2
Swallows can blick.,All birds can blick.,swallow,bird,can,1,3
Swallows can gyre.,All birds can gyre.,swallow,bird,can,1,4
Swallows can gimble.,All birds can gimble.,swallow,bird,can,1,5
Swallows can be daxed.,All birds can be daxed.,swallow,bird,can be,2,1
Swallows can be wiffed.,All birds can be wiffed.,swallow,bird,can be,2,2
Swallows can be blicked.,All birds can be blicked.,swallow,bird,can be,2,3
Swallows can be gyred.,All birds can be gyred.,swallow,bird,can be,2,4
Swallows can be gimbled.,All birds can be gimbled.,swallow,bird,can be,2,5
Swallows are beamish.,All birds are beamish.,swallow,bird,are,3,1
Swallows are slithy.,All birds are slithy.,swallow,bird,are,3,2
Swallows are mimsy.,All birds are mimsy.,swallow,bird,are,3,3
Swallows are vorpal.,All birds are vorpal.,swallow,bird,are,3,4
Swallows are frabjous.,All birds are frabjous.,swallow,bird,are,3,5
Swallows use a wug.,All birds use a wug.,swallow,bird,use a,4,1
Swallows use a fep.,All birds use a fep.,swallow,bird,use a,4,2
Swallows use a blicket.,All birds use a blicket.,swallow,bird,use a,4,3
Swallows use a jabberwock.,All birds use a jabberwock.,swallow,bird,use a,4,4
Swallows use a tove.,All birds use a tove.,swallow,bird,use a,4,5
Swallows love wugs.,All birds love wugs.,swallow,bird,love,5,1
Swallows love feps.,All birds love feps.,swallow,bird,love,5,2
Swallows love blickets.,All birds love blickets.,swallow,bird,love,5,3
Swallows love jabberwocks.,All birds love jabberwocks.,swallow,bird,love,5,4
Swallows love toves.,All birds love toves.,swallow,bird,love,5,5
Swallows have wugs.,All birds have wugs.,swallow,bird,have,6,1
Swallows have feps.,All birds have feps.,swallow,bird,have,6,2
Swallows have blickets.,All birds have blickets.,swallow,bird,have,6,3
Swallows have jabberwocks.,All birds have jabberwocks.,swallow,bird,have,6,4
Swallows have toves.,All birds have toves.,swallow,bird,have,6,5
Parakeets can dax.,All birds can dax.,parakeet,bird,can,1,1
Parakeets can wif.,All birds can wif.,parakeet,bird,can,1,2
Parakeets can blick.,All birds can blick.,parakeet,bird,can,1,3
Parakeets can gyre.,All birds can gyre.,parakeet,bird,can,1,4
Parakeets can gimble.,All birds can gimble.,parakeet,bird,can,1,5
Parakeets can be daxed.,All birds can be daxed.,parakeet,bird,can be,2,1
Parakeets can be wiffed.,All birds can be wiffed.,parakeet,bird,can be,2,2
Parakeets can be blicked.,All birds can be blicked.,parakeet,bird,can be,2,3
Parakeets can be gyred.,All birds can be gyred.,parakeet,bird,can be,2,4
Parakeets can be gimbled.,All birds can be gimbled.,parakeet,bird,can be,2,5
Parakeets are beamish.,All birds are beamish.,parakeet,bird,are,3,1
Parakeets are slithy.,All birds are slithy.,parakeet,bird,are,3,2
Parakeets are mimsy.,All birds are mimsy.,parakeet,bird,are,3,3
Parakeets are vorpal.,All birds are vorpal.,parakeet,bird,are,3,4
Parakeets are frabjous.,All birds are frabjous.,parakeet,bird,are,3,5
Parakeets use a wug.,All birds use a wug.,parakeet,bird,use a,4,1
Parakeets use a fep.,All birds use a fep.,parakeet,bird,use a,4,2
Parakeets use a blicket.,All birds use a blicket.,parakeet,bird,use a,4,3
Parakeets use a jabberwock.,All birds use a jabberwock.,parakeet,bird,use a,4,4
Parakeets use a tove.,All birds use a tove.,parakeet,bird,use a,4,5
Parakeets love wugs.,All birds love wugs.,parakeet,bird,love,5,1
Parakeets love feps.,All birds love feps.,parakeet,bird,love,5,2
Parakeets love blickets.,All birds love blickets.,parakeet,bird,love,5,3
Parakeets love jabberwocks.,All birds love jabberwocks.,parakeet,bird,love,5,4
Parakeets love toves.,All birds love toves.,parakeet,bird,love,5,5
Parakeets have wugs.,All birds have wugs.,parakeet,bird,have,6,1
Parakeets have feps.,All birds have feps.,parakeet,bird,have,6,2
Parakeets have blickets.,All birds have blickets.,parakeet,bird,have,6,3
Parakeets have jabberwocks.,All birds have jabberwocks.,parakeet,bird,have,6,4
Parakeets have toves.,All birds have toves.,parakeet,bird,have,6,5
Orioles can dax.,All birds can dax.,oriole,bird,can,1,1
Orioles can wif.,All birds can wif.,oriole,bird,can,1,2
Orioles can blick.,All birds can blick.,oriole,bird,can,1,3
Orioles can gyre.,All birds can gyre.,oriole,bird,can,1,4
Orioles can gimble.,All birds can gimble.,oriole,bird,can,1,5
Orioles can be daxed.,All birds can be daxed.,oriole,bird,can be,2,1
Orioles can be wiffed.,All birds can be wiffed.,oriole,bird,can be,2,2
Orioles can be blicked.,All birds can be blicked.,oriole,bird,can be,2,3
Orioles can be gyred.,All birds can be gyred.,oriole,bird,can be,2,4
Orioles can be gimbled.,All birds can be gimbled.,oriole,bird,can be,2,5
Orioles are beamish.,All birds are beamish.,oriole,bird,are,3,1
Orioles are slithy.,All birds are slithy.,oriole,bird,are,3,2
Orioles are mimsy.,All birds are mimsy.,oriole,bird,are,3,3
Orioles are vorpal.,All birds are vorpal.,oriole,bird,are,3,4
Orioles are frabjous.,All birds are frabjous.,oriole,bird,are,3,5
Orioles use a wug.,All birds use a wug.,oriole,bird,use a,4,1
Orioles use a fep.,All birds use a fep.,oriole,bird,use a,4,2
Orioles use a blicket.,All birds use a blicket.,oriole,bird,use a,4,3
Orioles use a jabberwock.,All birds use a jabberwock.,oriole,bird,use a,4,4
Orioles use a tove.,All birds use a tove.,oriole,bird,use a,4,5
Orioles love wugs.,All birds love wugs.,oriole,bird,love,5,1
Orioles love feps.,All birds love feps.,oriole,bird,love,5,2
Orioles love blickets.,All birds love blickets.,oriole,bird,love,5,3
Orioles love jabberwocks.,All birds love jabberwocks.,oriole,bird,love,5,4
Orioles love toves.,All birds love toves.,oriole,bird,love,5,5
Orioles have wugs.,All birds have wugs.,oriole,bird,have,6,1
Orioles have feps.,All birds have feps.,oriole,bird,have,6,2
Orioles have blickets.,All birds have blickets.,oriole,bird,have,6,3
Orioles have jabberwocks.,All birds have jabberwocks.,oriole,bird,have,6,4
Orioles have toves.,All birds have toves.,oriole,bird,have,6,5
Mockingbirds can dax.,All birds can dax.,mockingbird,bird,can,1,1
Mockingbirds can wif.,All birds can wif.,mockingbird,bird,can,1,2
Mockingbirds can blick.,All birds can blick.,mockingbird,bird,can,1,3
Mockingbirds can gyre.,All birds can gyre.,mockingbird,bird,can,1,4
Mockingbirds can gimble.,All birds can gimble.,mockingbird,bird,can,1,5
Mockingbirds can be daxed.,All birds can be daxed.,mockingbird,bird,can be,2,1
Mockingbirds can be wiffed.,All birds can be wiffed.,mockingbird,bird,can be,2,2
Mockingbirds can be blicked.,All birds can be blicked.,mockingbird,bird,can be,2,3
Mockingbirds can be gyred.,All birds can be gyred.,mockingbird,bird,can be,2,4
Mockingbirds can be gimbled.,All birds can be gimbled.,mockingbird,bird,can be,2,5
Mockingbirds are beamish.,All birds are beamish.,mockingbird,bird,are,3,1
Mockingbirds are slithy.,All birds are slithy.,mockingbird,bird,are,3,2
Mockingbirds are mimsy.,All birds are mimsy.,mockingbird,bird,are,3,3
Mockingbirds are vorpal.,All birds are vorpal.,mockingbird,bird,are,3,4
Mockingbirds are frabjous.,All birds are frabjous.,mockingbird,bird,are,3,5
Mockingbirds use a wug.,All birds use a wug.,mockingbird,bird,use a,4,1
Mockingbirds use a fep.,All birds use a fep.,mockingbird,bird,use a,4,2
Mockingbirds use a blicket.,All birds use a blicket.,mockingbird,bird,use a,4,3
Mockingbirds use a jabberwock.,All birds use a jabberwock.,mockingbird,bird,use a,4,4
Mockingbirds use a tove.,All birds use a tove.,mockingbird,bird,use a,4,5
Mockingbirds love wugs.,All birds love wugs.,mockingbird,bird,love,5,1
Mockingbirds love feps.,All birds love feps.,mockingbird,bird,love,5,2
Mockingbirds love blickets.,All birds love blickets.,mockingbird,bird,love,5,3
Mockingbirds love jabberwocks.,All birds love jabberwocks.,mockingbird,bird,love,5,4
Mockingbirds love toves.,All birds love toves.,mockingbird,bird,love,5,5
Mockingbirds have wugs.,All birds have wugs.,mockingbird,bird,have,6,1
Mockingbirds have feps.,All birds have feps.,mockingbird,bird,have,6,2
Mockingbirds have blickets.,All birds have blickets.,mockingbird,bird,have,6,3
Mockingbirds have jabberwocks.,All birds have jabberwocks.,mockingbird,bird,have,6,4
Mockingbirds have toves.,All birds have toves.,mockingbird,bird,have,6,5
Redbirds can dax.,All birds can dax.,redbird,bird,can,1,1
Redbirds can wif.,All birds can wif.,redbird,bird,can,1,2
Redbirds can blick.,All birds can blick.,redbird,bird,can,1,3
Redbirds can gyre.,All birds can gyre.,redbird,bird,can,1,4
Redbirds can gimble.,All birds can gimble.,redbird,bird,can,1,5
Redbirds can be daxed.,All birds can be daxed.,redbird,bird,can be,2,1
Redbirds can be wiffed.,All birds can be wiffed.,redbird,bird,can be,2,2
Redbirds can be blicked.,All birds can be blicked.,redbird,bird,can be,2,3
Redbirds can be gyred.,All birds can be gyred.,redbird,bird,can be,2,4
Redbirds can be gimbled.,All birds can be gimbled.,redbird,bird,can be,2,5
Redbirds are beamish.,All birds are beamish.,redbird,bird,are,3,1
Redbirds are slithy.,All birds are slithy.,redbird,bird,are,3,2
Redbirds are mimsy.,All birds are mimsy.,redbird,bird,are,3,3
Redbirds are vorpal.,All birds are vorpal.,redbird,bird,are,3,4
Redbirds are frabjous.,All birds are frabjous.,redbird,bird,are,3,5
Redbirds use a wug.,All birds use a wug.,redbird,bird,use a,4,1
Redbirds use a fep.,All birds use a fep.,redbird,bird,use a,4,2
Redbirds use a blicket.,All birds use a blicket.,redbird,bird,use a,4,3
Redbirds use a jabberwock.,All birds use a jabberwock.,redbird,bird,use a,4,4
Redbirds use a tove.,All birds use a tove.,redbird,bird,use a,4,5
Redbirds love wugs.,All birds love wugs.,redbird,bird,love,5,1
Redbirds love feps.,All birds love feps.,redbird,bird,love,5,2
Redbirds love blickets.,All birds love blickets.,redbird,bird,love,5,3
Redbirds love jabberwocks.,All birds love jabberwocks.,redbird,bird,love,5,4
Redbirds love toves.,All birds love toves.,redbird,bird,love,5,5
Redbirds have wugs.,All birds have wugs.,redbird,bird,have,6,1
Redbirds have feps.,All birds have feps.,redbird,bird,have,6,2
Redbirds have blickets.,All birds have blickets.,redbird,bird,have,6,3
Redbirds have jabberwocks.,All birds have jabberwocks.,redbird,bird,have,6,4
Redbirds have toves.,All birds have toves.,redbird,bird,have,6,5
Wrens can dax.,All birds can dax.,wren,bird,can,1,1
Wrens can wif.,All birds can wif.,wren,bird,can,1,2
Wrens can blick.,All birds can blick.,wren,bird,can,1,3
Wrens can gyre.,All birds can gyre.,wren,bird,can,1,4
Wrens can gimble.,All birds can gimble.,wren,bird,can,1,5
Wrens can be daxed.,All birds can be daxed.,wren,bird,can be,2,1
Wrens can be wiffed.,All birds can be wiffed.,wren,bird,can be,2,2
Wrens can be blicked.,All birds can be blicked.,wren,bird,can be,2,3
Wrens can be gyred.,All birds can be gyred.,wren,bird,can be,2,4
Wrens can be gimbled.,All birds can be gimbled.,wren,bird,can be,2,5
Wrens are beamish.,All birds are beamish.,wren,bird,are,3,1
Wrens are slithy.,All birds are slithy.,wren,bird,are,3,2
Wrens are mimsy.,All birds are mimsy.,wren,bird,are,3,3
Wrens are vorpal.,All birds are vorpal.,wren,bird,are,3,4
Wrens are frabjous.,All birds are frabjous.,wren,bird,are,3,5
Wrens use a wug.,All birds use a wug.,wren,bird,use a,4,1
Wrens use a fep.,All birds use a fep.,wren,bird,use a,4,2
Wrens use a blicket.,All birds use a blicket.,wren,bird,use a,4,3
Wrens use a jabberwock.,All birds use a jabberwock.,wren,bird,use a,4,4
Wrens use a tove.,All birds use a tove.,wren,bird,use a,4,5
