word1,word2,rel,determiner1,buffer,determiner2,plural1,bufferp,plural2,problem
flask,bottle,hyp-1,a flask,is,a bottle,flasks,are,bottles,
ceremony,graduation,r-hyp-2,a ceremony,is,a graduation,ceremonies,are,graduations,
chief,executive,r-hyp-1,a chief,is,an executive,chiefs,are,executives,
casket,box,hyp-1,a casket,is,a box,caskets,are,boxes,
twig,branch,hyp-1,a twig,is,a branch,twigs,are,branches,
bouillon,broth,hyp-1,a bouillon,is,a broth,bouillons,are,broths,
child,daughter,r-hyp-2,a child,is,a daughter,children,are,daughters,
skyscraper,building,hyp-1,a skyscraper,is,a building,skyscrapers,are,buildings,
cathedral,building,hyp-3,a cathedral,is,a building,cathedrals,are,buildings,
cleaner,soap,r-hyp-1,a cleaner,is,a soap,cleaners,are,soaps,
corporation,business,hyp-2,a corporation,is,a business,corporations,are,businesses,
club,fraternity,r-hyp-1,a club,is,a fraternity,clubs,are,fraternities,
lollipop,candy,hyp-1,a lollipop,is,a candy,lollipops,are,candies,
hostage,captive,hyp-1,a hostage,is,a captive,hostages,are,captives,
communication,conversation,r-hyp-3,a communication,is,a conversation,communication,are,conversations,
limousine,car,hyp-1,a limousine,is,a car,limousines,are,cars,
spade,card,hyp-2,a spade,is,a card,spades,are,cards,
jack,card,hyp-3,a jack,is,a card,jacks,are,cards,
joker,card,hyp-2,a joker,is,a card,jokers,are,cards,
communication,language,r-hyp-1,a communication,is,a language,communications,are,languages,
competition,race,r-hyp-1,a competition,is,a race,competitions,are,races,
conflict,disagreement,r-hyp-1,a conflict,is,a disagreement,conflicts,are,disagreements,
panther,cat,hyp-1,a panther,is,a cat,panthers,are,cats,
cougar,cat,hyp-2,a cougar,is,a cat,cougars,are,cats,
conflict,war,r-hyp-1,a conflict,is,a war,conflicts,are,wars,
beef,cattle,hyp-1,a beef,is,a cattle,beefs,are,cattle,3
remedy,cause,hyp-4,a remedy,is,a cause,remedies,are,causes,
cavern,cave,hyp-1,a cavern,is,a cave,caverns,are,caves,
dungeon,cell,hyp-1,a dungeon,is,a cell,dungeons,are,cells,
oat,cereal,hyp-1,oat,is,a cereal,oats,are,cereals,
wheat,cereal,hyp-1,wheat,is,a cereal,wheats,are,cereals,
mass,ceremony,hyp-2,a mass,is,a ceremony,masses,are,ceremonies,
funeral,ceremony,hyp-1,a funeral,is,a ceremony,funerals,are,ceremonies,
graduation,ceremony,hyp-2,a graduation,is,a ceremony,graduations,are,ceremonies,
container,flask,r-hyp-3,a container,is,a flask,containers,are,flasks,
vault,chamber,hyp-2,a vault,is,a chamber,vaults,are,chambers,
letter,character,hyp-1,a letter,is,a character,letters,are,characters,
courage,grit,r-hyp-2,a courage,is,a grit,courages,are,grits,
craft,knitting,r-hyp-2,a craft,is,a knitting,craft,are,knittings,
rooster,chicken,hyp-1,a rooster,is,a chicken,roosters,are,chickens,
hen,chicken,hyp-1,a hen,is,a chicken,hens,are,chickens,
executive,chief,hyp-1,an executive,is,a chief,executives,are,chiefs,
girl,child,hyp-2,a girl,is,a child,girls,are,children,
boy,child,hyp-2,a boy,is,a child,boys,are,children,
daughter,child,hyp-2,a daughter,is,a child,daughters,are,children,
son,child,hyp-2,a son,is,a child,sons,are,children,
creator,artist,r-hyp-1,a creator,is,an artist,creators,are,artists,
creature,bug,r-hyp-4,a creature,is,a bug,creatures,are,bugs,
lemon,citrus,hyp-1,a lemon,is,citrus,lemons,are,citruses,
soap,cleaner,hyp-1,a soap,is,a cleaner,soaps,are,cleaners,
detergent,cleaner,hyp-1,a detergent,is,a cleaner,detergents,are,cleaners,
creature,wolf,r-hyp-4,a creature,is,a wolf,creatures,are,wolves,
cape,cloak,hyp-1,a cape,is,a cloak,capes,are,cloaks,
bandanna,cloth,hyp-3,a bandanna,is,a cloth,bandannas,are,cloths,
wool,cloth,hyp-1,a wool,is,a cloth,wools,are,cloths,
mist,cloud,hyp-3,a mist,is,a cloud,mists,are,clouds,
bat,club,hyp-1,a bat,is,a club,bats,are,clubs,
fraternity,club,hyp-1,a fraternity,is,a club,fraternities,are,clubs,
penny,coin,hyp-1,a penny,is,a coin,pennies,are,coins,
blue,color,hyp-2,blue,is,a color,blues,are,colors,2
maroon,color,hyp-4,maroon,is,a color,maroons,are,colors,2
engagement,commitment,hyp-2,an engagement,is,a commitment,engagements,are,commitments,
conversation,communication,hyp-3,a conversation,is,a communication,conversations,are,communications,
language,communication,hyp-1,a language,is,a communication,languages,are,communications,3
race,competition,hyp-1,a race,is,a competition,races,are,competitions,
crook,burglar,r-hyp-2,a crook,is,a burglar,crooks,are,burglars,
trauma,condition,hyp-2,a trauma,is,a condition,traumas,are,conditions,
deception,fraud,r-hyp-2,a deception,is,a fraud,deceptions,are,frauds,
war,conflict,hyp-1,a war,is,a conflict,wars,are,conflicts,
argument,conflict,hyp-1,an argument,is,a conflict,arguments,are,conflicts,
disagreement,conflict,hyp-1,a disagreement,is,a conflict,disagreements,are,conflicts,
dilemma,confusion,hyp-2,a dilemma,is,a confusion,dilemmas,are,confusions,
jug,container,hyp-3,a jug,is,a container,jugs,are,containers,
bucket,container,hyp-2,a bucket,is,a container,buckets,are,containers,
flask,container,hyp-3,a flask,is,a container,flasks,are,containers,
pitcher,container,hyp-2,a pitcher,is,a container,pitchers,are,containers,
jar,container,hyp-2,a jar,is,a container,jars,are,containers,
cup,container,hyp-1,a cup,is,a container,cups,are,containers,
keg,container,hyp-3,a keg,is,a container,kegs,are,containers,
bottle,container,hyp-2,a bottle,is,a container,bottles,are,containers,
lease,contract,hyp-1,a lease,is,a contract,leases,are,contracts,
device,phone,r-hyp-4,a device,is,a phone,devices,are,phones,
disease,cancer,r-hyp-3,a disease,is,a cancer,diseases,are,cancers,
doctor,surgeon,r-hyp-1,a doctor,is,a surgeon,doctors,are,surgeons,
drawing,sketch,r-hyp-1,a drawing,is,a sketch,drawings,are,sketches,
grit,courage,hyp-2,a grit,is,a courage,grits,are,courages,
knitting,craft,hyp-2,a knitting,is,a craft,knittings,are,craft,
plane,craft,hyp-3,a plane,is,a craft,planes,are,craft,
designer,creator,hyp-1,a designer,is,a creator,designers,are,creators,
manufacturer,creator,hyp-2,a manufacturer,is,a creator,manufacturers,are,creators,
artist,creator,hyp-1,an artist,is,a creator,artists,are,creators,
author,creator,hyp-2,an author,is,a creator,authors,are,creators,
wolf,creature,hyp-4,a wolf,is,a creature,wolves,are,creatures,
bug,creature,hyp-4,a bug,is,a creature,bugs,are,creatures,
lizard,creature,hyp-4,a lizard,is,a creature,lizards,are,creatures,
octopus,creature,hyp-4,an octopus,is,a creature,octopuses,are,creatures,
dinosaur,creature,hyp-4,a dinosaur,is,a creature,dinosaurs,are,creatures,
theft,crime,hyp-2,a theft,is,a crime,thefts,are,crimes,
rape,crime,hyp-3,a rape,is,a crime,rapes,are,crimes,
burglar,crook,hyp-2,a burglar,is,a crook,burglars,are,crooks,
thief,crook,hyp-1,a thief,is,a crook,thiefs,are,crooks,
diamond,crystal,hyp-3,a diamond,is,a crystal,diamonds,are,crystals,
ruby,crystal,hyp-3,a ruby,is,a crystal,rubies,are,crystals,
beaker,cup,hyp-1,a beaker,is,a cup,beakers,are,cups,
ointment,cure,hyp-1,an ointment,is,a cure,ointments,are,cures,
antidote,cure,hyp-1,an antidote,is,a cure,antidotes,are,cures,
ritual,custom,hyp-1,a ritual,is,a custom,rituals,are,customs,
duty,task,r-hyp-1,a duty,is,a task,duties,are,tasks,
fabric,cotton,r-hyp-1,a fabric,is,a cotton,fabrics,are,cottons,
ballerina,dancer,hyp-2,a ballerina,is,a dancer,ballerinas,are,dancers,
fabric,silk,r-hyp-1,a fabric,is,a silk,fabrics,are,silks,
fraud,deception,hyp-2,a fraud,is,a deception,frauds,are,deceptions,
stag,deer,hyp-2,a stag,is,a deer,stags,are,deer,
elk,deer,hyp-1,an elk,is,a deer,elks,are,deer,
pudding,dessert,hyp-1,a pudding,is,a dessert,puddings,are,desserts,
phone,device,hyp-4,a phone,is,a device,phones,are,devices,
feeling,anxiety,r-hyp-2,a feeling,is,an anxiety,feelings,are,anxieties,1
problem,difficulty,hyp-1,a problem,is,a difficulty,problems,are,difficulties,
feeling,ecstasy,r-hyp-3,a feeling,is,an ecstasy,feelings,are,ecstasies,
north,direction,hyp-3,north,is,a direction,norths,are,directions,2
south,direction,hyp-3,south,is,a direction,souths,are,directions,
west,direction,hyp-3,west,is,a direction,wests,are,directions,
mud,dirt,hyp-1,mud,is,a dirt,muds,are,dirts,2
feeling,empathy,r-hyp-2,a feeling,is,an empathy,feelings,are,empathies,
science,discipline,hyp-1,science,is,a discipline,sciences,are,disciplines,
cancer,disease,hyp-3,a cancer,is,a disease,cancers,are,diseases,
feeling,jealousy,r-hyp-4,a feeling,is,a jealousy,feelings,are,jealousies,
anarchy,disorder,hyp-1,anarchy,is,a disorder,anarchies,are,disorders,
trench,ditch,hyp-1,a trench,is,a ditch,trenches,are,ditches,
surgeon,doctor,hyp-1,a surgeon,is,a doctor,surgeons,are,doctors,
contract,document,hyp-3,a contract,is,a document,contracts,are,documents,
constitution,document,hyp-3,a constitution,is,a document,constitutions,are,documents,
figure,statue,r-hyp-3,a figure,is,a statue,figures,are,statues,
finger,thumb,r-hyp-1,a finger,is,a thumb,fingers,are,thumbs,
fish,bass,r-hyp-4,a fish,is,a bass,fish,are,basses,
land,domain,hyp-1,a land,is,a domain,lands,are,domains,
math,domain,hyp-3,math,is,a domain,maths,are,domains,
pastry,dough,hyp-1,a pastry,is,a dough,pastries,are,doughs,3
sketch,drawing,hyp-1,a sketch,is,a drawing,sketches,are,drawings,
nightmare,dream,hyp-1,a nightmare,is,a dream,nightmares,are,dreams,
tuxedo,dress,hyp-2,a tuxedo,is,a dress,tuxedoes,are,dresses,
pill,drug,hyp-3,a pill,is,a drug,pills,are,drugs,
aspirin,drug,hyp-3,an aspirin,is,a drug,aspirins,are,drugs,
medicine,drug,hyp-1,a medicine,is,a drug,medicines,are,drugs,
antidote,drug,hyp-3,an antidote,is,a drug,antidotes,are,drugs,
fish,shark,r-hyp-3,a fish,is,a shark,fish,are,sharks,
mission,duty,hyp-2,a mission,is,a duty,missions,are,duties,
task,duty,hyp-1,a task,is,a duty,tasks,are,duties,
flower,orchid,r-hyp-1,a flower,is,an orchid,flowers,are,orchids,
soil,earth,hyp-1,soil,is,earth,soils,are,earths,2
fluid,water,r-hyp-2,a fluid,is,a water,fluids,are,waters,
threshold,edge,hyp-1,a threshold,is,an edge,thresholds,are,edges,
school,education,hyp-1,a school,is,an education,schools,are,educations,3
reaction,effect,hyp-2,a reaction,is,an effect,reactions,are,effects,
food,barley,r-hyp-3,a food,is,a barley,foods,are,barleys,2
food,pie,r-hyp-3,a food,is,a pie,foods,are,pies,
nitrogen,element,hyp-1,a nitrogen,is,an element,nitrogens,are,elements,
food,sausage,r-hyp-2,a food,is,a sausage,foods,are,sausages,
force,gravity,r-hyp-2,a force,is,gravity,forces,are,gravities,2
happiness,emotion,hyp-2,happiness,is,an emotion,happinesses,are,emotions,
forest,jungle,r-hyp-1,a forest,is,a jungle,forests,are,jungles,
fruit,cherry,r-hyp-2,a fruit,is,a cherry,fruits,are,cherries,
furniture,bed,r-hyp-2,a furniture,is,a bed,furnitures,are,beds,
death,end,hyp-1,a death,is,an end,deaths,are,ends,3
door,entrance,hyp-1,a door,is,an entrance,doors,are,entrances,
doorway,entrance,hyp-1,a doorway,is,an entrance,doorways,are,entrances,
opening,entrance,hyp-1,an opening,is,an entrance,openings,are,entrances,
furniture,chair,r-hyp-2,a furniture,is,a chair,furnitures,are,chairs,
rubber,eraser,hyp-1,a rubber,is,an eraser,rubbers,are,erasers,
olympics,event,hyp-4,an olympics,is,an event,olympicss,are,events,3
creation,event,hyp-3,a creation,is,an event,creations,are,events,3
party,event,hyp-3,a party,is,an event,parties,are,events,
ritual,event,hyp-4,a ritual,is,an event,rituals,are,events,
game,event,hyp-3,a game,is,an event,games,are,events,
concert,event,hyp-4,a concert,is,an event,concerts,are,events,
proof,evidence,hyp-1,proof,is,an evidence,proofs,are,evidence,
clue,evidence,hyp-1,a clue,is,an evidence,clues,are,evidences,
sample,example,hyp-1,a sample,is,an example,samples,are,examples,
furniture,recliner,r-hyp-4,a furniture,is,a recliner,furnitures,are,recliners,
life,existence,hyp-1,life,is,an existence,lives,are,existences,
professional,expert,hyp-2,a professional,is,an expert,professionals,are,experts,
navigator,explorer,hyp-1,a navigator,is,an explorer,navigators,are,explorers,
blast,explosion,hyp-1,a blast,is,an explosion,blasts,are,explosions,
arm,extremity,hyp-2,an arm,is,an extremity,arms,are,extremities,
maximum,extremity,hyp-2,a maximum,is,an extremity,maximums,are,extremities,
limb,extremity,hyp-1,a limb,is,an extremity,limbs,are,extremities,
leg,extremity,hyp-2,a leg,is,an extremity,legs,are,extremities,
cotton,fabric,hyp-1,a cotton,is,a fabric,cottons,are,fabrics,
silk,fabric,hyp-1,a silk,is,a fabric,silks,are,fabrics,
fault,failure,hyp-2,a fault,is,a failure,faults,are,failures,
game,chess,r-hyp-3,a game,is,a chess,games,are,chesses,
gathering,feast,r-hyp-4,a gathering,is,a feast,gatherings,are,feasts,
glove,mitten,r-hyp-1,a glove,is,a mitten,gloves,are,mittens,
toll,fee,hyp-1,a toll,is,a fee,tolls,are,fees,
emotion,feeling,hyp-1,emotion,is,a feeling,emotions,are,feelings,
ecstasy,feeling,hyp-3,ecstacy,is,a feeling,ecstasies,are,feelings,
anxiety,feeling,hyp-2,anxiety,is,a feeling,anxieties,are,feelings,
empathy,feeling,hyp-2,empathy,is,a feeling,empathies,are,feelings,
love,feeling,hyp-2,love,is,a feeling,loves,are,feelings,
sympathy,feeling,hyp-1,sympathy,is,a feeling,sympathies,are,feelings,
guilt,feeling,hyp-4,guilt,is,a feeling,guilts,are,feelings,
jealousy,feeling,hyp-4,jealousy,is,a feeling,jealousies,are,feelings,
mother,female,hyp-3,mother,is,a female,mothers,are,females,
daughter,female,hyp-2,daughter,is,a female,daughters,are,females,
hedge,fence,hyp-1,a hedge,is,a fence,hedges,are,fences,
novel,fiction,hyp-1,a novel,is,a fiction,novels,are,fictions,3
myth,fiction,hyp-2,a myth,is,a fiction,myths,are,fictions,
statue,figure,hyp-3,a statue,is,a figure,statues,are,figures,
thumb,finger,hyp-1,a thumb,is,a finger,thumbs,are,fingers,
perch,fish,hyp-4,a perch,is,a fish,perches,are,fish,
cod,fish,hyp-4,a cod,is,a fish,cod,are,fish,
trout,fish,hyp-1,a trout,is,a fish,trout,are,fish,
pike,fish,hyp-4,a pike,is,a fish,pikes,are,fish,
shark,fish,hyp-3,a shark,is,a fish,sharks,are,fish,
barracuda,fish,hyp-4,a barracuda,is,a fish,barracudas,are,fish,
salmon,fish,hyp-2,a salmon,is,a fish,salmon,are,fish,
dolphin,fish,hyp-4,a dolphin,is,a fish,dolphins,are,fish,
bass,fish,hyp-4,a bass,is,a fish,basses,are,fish,
dandruff,flake,hyp-2,a dandruff,is,a flake,dandruffs,are,flakes,
blaze,flame,hyp-1,a blaze,is,a flame,blazes,are,flames,
goat,kid,r-hyp-1,a goat,is,a kid,goats,are,kids,
vanilla,flavor,hyp-1,vanilla,is,a flavor,vanillas,are,flavors,
orchid,flower,hyp-1,an orchid,is,a flower,orchids,are,flowers,
group,choir,r-hyp-3,a group,is,a choir,groups,are,choirs,
water,fluid,hyp-2,water,is,a fluid,waters,are,fluids,
group,gang,r-hyp-4,a group,is,a gang,groups,are,gangs,
fig,food,hyp-3,fig,is,a food,figs,are,foods,
lettuce,food,hyp-4,lettuce,is,a food,lettuces,are,foods,
crab,food,hyp-3,crab,is,a food,crabs,are,foods,
oatmeal,food,hyp-3,oatmeal,is,a food,oatmeals,are,foods,
celery,food,hyp-3,celery,is,a food,celeries,are,foods,
cauliflower,food,hyp-4,cauliflower,is,a food,cauliflowers,are,foods,
coleslaw,food,hyp-4,coleslaw,is,a food,coleslaws,are,foods,
rabbit,food,hyp-3,rabbit,is,a food,rabbits,are,foods,
cookie,food,hyp-3,cookie,is,a food,cookies,are,foods,
bean,food,hyp-4,a bean,is,a food,beans,are,foods,1
olive,food,hyp-4,olive,is,a food,olives,are,foods,
mousse,food,hyp-3,mousse,is,a food,mousses,are,foods,
hamburger,food,hyp-4,hamburger,is,a food,hamburgers,are,foods,
oregano,food,hyp-4,oregano,is,a food,oreganos,are,foods,
snack,food,hyp-3,a snack,is,a food,snacks,are,foods,
rice,food,hyp-3,rice,is,a food,rices,are,foods,
carrot,food,hyp-4,carrot,is,a food,carrots,are,foods,
bread,food,hyp-3,bread,is,a food,breads,are,foods,
pie,food,hyp-3,pie,is,a food,pies,are,foods,
steak,food,hyp-3,steak,is,a food,steaks,are,foods,
dish,food,hyp-2,a dish,is,a food,dishes,are,foods,
macaroni,food,hyp-2,macaroni,is,a food,macaronis,are,foods,
squash,food,hyp-3,squash,is,a food,squashes,are,foods,
zucchini,food,hyp-4,zucchini,is,a food,zucchinis,are,foods,
