stimulus,item,category,feature
a vulture lays eggs.,vulture,bird,8
a stork lays eggs.,stork,bird,8
a buzzard lays eggs.,buzzard,bird,8
a swan lays eggs.,swan,bird,8
a flamingo lays eggs.,flamingo,bird,8
a duck lays eggs.,duck,bird,8
a peacock lays eggs.,peacock,bird,8
an egret lays eggs.,egret,bird,8
a chicken lays eggs.,chicken,bird,8
a turkey lays eggs.,turkey,bird,8
an ostrich lays eggs.,ostrich,bird,8
a titmouse lays eggs.,titmouse,bird,8
an emu lays eggs.,emu,bird,8
a penguin lays eggs.,penguin,bird,8
a bat lays eggs.,bat,bird,8
a robin has just two legs.,robin,bird,9
a sparrow has just two legs.,sparrow,bird,9
a bluejay has just two legs.,bluejay,bird,9
a bluebird has just two legs.,bluebird,bird,9
a canary has just two legs.,canary,bird,9
a blackbird has just two legs.,blackbird,bird,9
a dove has just two legs.,dove,bird,9
a lark has just two legs.,lark,bird,9
a swallow has just two legs.,swallow,bird,9
a parakeet has just two legs.,parakeet,bird,9
an oriole has just two legs.,oriole,bird,9
a mockingbird has just two legs.,mockingbird,bird,9
a redbird has just two legs.,redbird,bird,9
a wren has just two legs.,wren,bird,9
a finch has just two legs.,finch,bird,9
a starling has just two legs.,starling,bird,9
a cardinal has just two legs.,cardinal,bird,9
an eagle has just two legs.,eagle,bird,9
a hummingbird has just two legs.,hummingbird,bird,9
a seagull has just two legs.,seagull,bird,9
a woodpecker has just two legs.,woodpecker,bird,9
a pigeon has just two legs.,pigeon,bird,9
a thrush has just two legs.,thrush,bird,9
a falcon has just two legs.,falcon,bird,9
a crow has just two legs.,crow,bird,9
a hawk has just two legs.,hawk,bird,9
a raven has just two legs.,raven,bird,9
a goldfinch has just two legs.,goldfinch,bird,9
a parrot has just two legs.,parrot,bird,9
a sandpiper has just two legs.,sandpiper,bird,9
a pheasant has just two legs.,pheasant,bird,9
a catbird has just two legs.,catbird,bird,9
a crane has just two legs.,crane,bird,9
an albatross has just two legs.,albatross,bird,9
a condor has just two legs.,condor,bird,9
a toucan has just two legs.,toucan,bird,9
an owl has just two legs.,owl,bird,9
a pelican has just two legs.,pelican,bird,9
geese have just two legs.,geese,bird,9
a vulture has just two legs.,vulture,bird,9
a stork has just two legs.,stork,bird,9
a buzzard has just two legs.,buzzard,bird,9
a swan has just two legs.,swan,bird,9
a flamingo has just two legs.,flamingo,bird,9
a duck has just two legs.,duck,bird,9
a peacock has just two legs.,peacock,bird,9
an egret has just two legs.,egret,bird,9
a chicken has just two legs.,chicken,bird,9
a turkey has just two legs.,turkey,bird,9
an ostrich has just two legs.,ostrich,bird,9
a titmouse has just two legs.,titmouse,bird,9
an emu has just two legs.,emu,bird,9
a penguin has just two legs.,penguin,bird,9
a bat has just two legs.,bat,bird,9
a robin builds nests.,robin,bird,10
a sparrow builds nests.,sparrow,bird,10
a bluejay builds nests.,bluejay,bird,10
a bluebird builds nests.,bluebird,bird,10
a canary builds nests.,canary,bird,10
a blackbird builds nests.,blackbird,bird,10
a dove builds nests.,dove,bird,10
a lark builds nests.,lark,bird,10
a swallow builds nests.,swallow,bird,10
a parakeet builds nests.,parakeet,bird,10
an oriole builds nests.,oriole,bird,10
a mockingbird builds nests.,mockingbird,bird,10
a redbird builds nests.,redbird,bird,10
a wren builds nests.,wren,bird,10
a finch builds nests.,finch,bird,10
a starling builds nests.,starling,bird,10
a cardinal builds nests.,cardinal,bird,10
an eagle builds nests.,eagle,bird,10
a hummingbird builds nests.,hummingbird,bird,10
a seagull builds nests.,seagull,bird,10
a woodpecker builds nests.,woodpecker,bird,10
a pigeon builds nests.,pigeon,bird,10
a thrush builds nests.,thrush,bird,10
a falcon builds nests.,falcon,bird,10
a crow builds nests.,crow,bird,10
a hawk builds nests.,hawk,bird,10
a raven builds nests.,raven,bird,10
a goldfinch builds nests.,goldfinch,bird,10
a parrot builds nests.,parrot,bird,10
a sandpiper builds nests.,sandpiper,bird,10
a pheasant builds nests.,pheasant,bird,10
a catbird builds nests.,catbird,bird,10
a crane builds nests.,crane,bird,10
an albatross builds nests.,albatross,bird,10
a condor builds nests.,condor,bird,10
a toucan builds nests.,toucan,bird,10
an owl builds nests.,owl,bird,10
a pelican builds nests.,pelican,bird,10
geese build nests.,geese,bird,10
a vulture builds nests.,vulture,bird,10
a stork builds nests.,stork,bird,10
a buzzard builds nests.,buzzard,bird,10
a swan builds nests.,swan,bird,10
a flamingo builds nests.,flamingo,bird,10
a duck builds nests.,duck,bird,10
a peacock builds nests.,peacock,bird,10
an egret builds nests.,egret,bird,10
a chicken builds nests.,chicken,bird,10
a turkey builds nests.,turkey,bird,10
an ostrich builds nests.,ostrich,bird,10
a titmouse builds nests.,titmouse,bird,10
an emu builds nests.,emu,bird,10
a penguin builds nests.,penguin,bird,10
a bat builds nests.,bat,bird,10
a robin sings.,robin,bird,11
a sparrow sings.,sparrow,bird,11
a bluejay sings.,bluejay,bird,11
a bluebird sings.,bluebird,bird,11
a canary sings.,canary,bird,11
a blackbird sings.,blackbird,bird,11
a dove sings.,dove,bird,11
a lark sings.,lark,bird,11
a swallow sings.,swallow,bird,11
a parakeet sings.,parakeet,bird,11
an oriole sings.,oriole,bird,11
a mockingbird sings.,mockingbird,bird,11
a redbird sings.,redbird,bird,11
a wren sings.,wren,bird,11
a finch sings.,finch,bird,11
a starling sings.,starling,bird,11
a cardinal sings.,cardinal,bird,11
an eagle sings.,eagle,bird,11
a hummingbird sings.,hummingbird,bird,11
a seagull sings.,seagull,bird,11
a woodpecker sings.,woodpecker,bird,11
a pigeon sings.,pigeon,bird,11
a thrush sings.,thrush,bird,11
a falcon sings.,falcon,bird,11
a crow sings.,crow,bird,11
a hawk sings.,hawk,bird,11
a raven sings.,raven,bird,11
a goldfinch sings.,goldfinch,bird,11
a parrot sings.,parrot,bird,11
a sandpiper sings.,sandpiper,bird,11
a pheasant sings.,pheasant,bird,11
a catbird sings.,catbird,bird,11
a crane sings.,crane,bird,11
an albatross sings.,albatross,bird,11
a condor sings.,condor,bird,11
a toucan sings.,toucan,bird,11
an owl sings.,owl,bird,11
a pelican sings.,pelican,bird,11
geese sing.,geese,bird,11
a vulture sings.,vulture,bird,11
a stork sings.,stork,bird,11
a buzzard sings.,buzzard,bird,11
a swan sings.,swan,bird,11
a flamingo sings.,flamingo,bird,11
a duck sings.,duck,bird,11
a peacock sings.,peacock,bird,11
an egret sings.,egret,bird,11
a chicken sings.,chicken,bird,11
a turkey sings.,turkey,bird,11
an ostrich sings.,ostrich,bird,11
a titmouse sings.,titmouse,bird,11
an emu sings.,emu,bird,11
a penguin sings.,penguin,bird,11
a bat sings.,bat,bird,11
a robin has claws.,robin,bird,12
a sparrow has claws.,sparrow,bird,12
a bluejay has claws.,bluejay,bird,12
a bluebird has claws.,bluebird,bird,12
a canary has claws.,canary,bird,12
a blackbird has claws.,blackbird,bird,12
a dove has claws.,dove,bird,12
a lark has claws.,lark,bird,12
a swallow has claws.,swallow,bird,12
a parakeet has claws.,parakeet,bird,12
an oriole has claws.,oriole,bird,12
a mockingbird has claws.,mockingbird,bird,12
a redbird has claws.,redbird,bird,12
a wren has claws.,wren,bird,12
a finch has claws.,finch,bird,12
a starling has claws.,starling,bird,12
a cardinal has claws.,cardinal,bird,12
an eagle has claws.,eagle,bird,12
a hummingbird has claws.,hummingbird,bird,12
a seagull has claws.,seagull,bird,12
a woodpecker has claws.,woodpecker,bird,12
a pigeon has claws.,pigeon,bird,12
a thrush has claws.,thrush,bird,12
a falcon has claws.,falcon,bird,12
a crow has claws.,crow,bird,12
a hawk has claws.,hawk,bird,12
a raven has claws.,raven,bird,12
a goldfinch has claws.,goldfinch,bird,12
a parrot has claws.,parrot,bird,12
a sandpiper has claws.,sandpiper,bird,12
a pheasant has claws.,pheasant,bird,12
a catbird has claws.,catbird,bird,12
a crane has claws.,crane,bird,12
an albatross has claws.,albatross,bird,12
a condor has claws.,condor,bird,12
a toucan has claws.,toucan,bird,12
an owl has claws.,owl,bird,12
a pelican has claws.,pelican,bird,12
geese have claws.,geese,bird,12
a vulture has claws.,vulture,bird,12
a stork has claws.,stork,bird,12
a buzzard has claws.,buzzard,bird,12
a swan has claws.,swan,bird,12
a flamingo has claws.,flamingo,bird,12
a duck has claws.,duck,bird,12
a peacock has claws.,peacock,bird,12
an egret has claws.,egret,bird,12
a chicken has claws.,chicken,bird,12
a turkey has claws.,turkey,bird,12
an ostrich has claws.,ostrich,bird,12
a titmouse has claws.,titmouse,bird,12
an emu has claws.,emu,bird,12
a penguin has claws.,penguin,bird,12
a bat has claws.,bat,bird,12
a robin is very lightweight.,robin,bird,13
a sparrow is very lightweight.,sparrow,bird,13
a bluejay is very lightweight.,bluejay,bird,13
a bluebird is very lightweight.,bluebird,bird,13
a canary is very lightweight.,canary,bird,13
a blackbird is very lightweight.,blackbird,bird,13
a dove is very lightweight.,dove,bird,13
a lark is very lightweight.,lark,bird,13
a swallow is very lightweight.,swallow,bird,13
a parakeet is very lightweight.,parakeet,bird,13
an oriole is very lightweight.,oriole,bird,13
a mockingbird is very lightweight.,mockingbird,bird,13
a redbird is very lightweight.,redbird,bird,13
a wren is very lightweight.,wren,bird,13
a finch is very lightweight.,finch,bird,13
a starling is very lightweight.,starling,bird,13
a cardinal is very lightweight.,cardinal,bird,13
an eagle is very lightweight.,eagle,bird,13
a hummingbird is very lightweight.,hummingbird,bird,13
a seagull is very lightweight.,seagull,bird,13
a woodpecker is very lightweight.,woodpecker,bird,13
a pigeon is very lightweight.,pigeon,bird,13
a thrush is very lightweight.,thrush,bird,13
a falcon is very lightweight.,falcon,bird,13
a crow is very lightweight.,crow,bird,13
a hawk is very lightweight.,hawk,bird,13
a raven is very lightweight.,raven,bird,13
a goldfinch is very lightweight.,goldfinch,bird,13
a parrot is very lightweight.,parrot,bird,13
a sandpiper is very lightweight.,sandpiper,bird,13
a pheasant is very lightweight.,pheasant,bird,13
a catbird is very lightweight.,catbird,bird,13
a crane is very lightweight.,crane,bird,13
an albatross is very lightweight.,albatross,bird,13
a condor is very lightweight.,condor,bird,13
a toucan is very lightweight.,toucan,bird,13
an owl is very lightweight.,owl,bird,13
a pelican is very lightweight.,pelican,bird,13
geese are very lightweight.,geese,bird,13
a vulture is very lightweight.,vulture,bird,13
a stork is very lightweight.,stork,bird,13
a buzzard is very lightweight.,buzzard,bird,13
a swan is very lightweight.,swan,bird,13
a flamingo is very lightweight.,flamingo,bird,13
a duck is very lightweight.,duck,bird,13
a peacock is very lightweight.,peacock,bird,13
an egret is very lightweight.,egret,bird,13
a chicken is very lightweight.,chicken,bird,13
a turkey is very lightweight.,turkey,bird,13
an ostrich is very lightweight.,ostrich,bird,13
a titmouse is very lightweight.,titmouse,bird,13
an emu is very lightweight.,emu,bird,13
a penguin is very lightweight.,penguin,bird,13
a bat is very lightweight.,bat,bird,13
football is physical.,football,sport,1
baseball is physical.,baseball,sport,1
basketball is physical.,basketball,sport,1
tennis is physical.,tennis,sport,1
softball is physical.,softball,sport,1
canoeing is physical.,canoeing,sport,1
handball is physical.,handball,sport,1
rugby is physical.,rugby,sport,1
hockey is physical.,hockey,sport,1
ice hockey is physical.,ice hockey,sport,1
swimming is physical.,swimming,sport,1
track is physical.,track,sport,1
boxing is physical.,boxing,sport,1
volleyball is physical.,volleyball,sport,1
lacrosse is physical.,lacrosse,sport,1
skiing is physical.,skiing,sport,1
golf is physical.,golf,sport,1
polo is physical.,polo,sport,1
surfing is physical.,surfing,sport,1
wrestling is physical.,wrestling,sport,1
gymnastics is physical.,gymnastics,sport,1
cricket is physical.,cricket,sport,1
squash is physical.,squash,sport,1
badminton is physical.,badminton,sport,1
racing is physical.,racing,sport,1
pole vault is physical.,pole vault,sport,1
fencing is physical.,fencing,sport,1
bowling is physical.,bowling,sport,1
water skiing is physical.,water skiing,sport,1
ice skating is physical.,ice skating,sport,1
jai alai is physical.,jai alai,sport,1
skating is physical.,skating,sport,1
skindiving is physical.,skindiving,sport,1
sailing is physical.,sailing,sport,1
diving is physical.,diving,sport,1
archery is physical.,archery,sport,1
