premise,conclusion,item,category,blankpredicate,item_word,category_word,predicate_id,argument_id,score,conclusion_only,params,model
Sparrows can wif.,All birds can wif.,sparrow,bird,can,Sparrows,birds,1,2,-19.637741923332214,-19.075925827026367,0,5gram
Sparrows can blick.,All birds can blick.,sparrow,bird,can,Sparrows,birds,1,3,-18.524735689163208,-17.962919235229492,0,5gram
Sparrows can gyre.,All birds can gyre.,sparrow,bird,can,Sparrows,birds,1,4,-18.592257022857666,-18.030441284179688,0,5gram
Sparrows can gimble.,All birds can gimble.,sparrow,bird,can,Sparrows,birds,1,5,-19.637741923332214,-19.075925827026367,0,5gram
Sparrows can be daxed.,All birds can be daxed.,sparrow,bird,can be,Sparrows,birds,2,1,-20.459582567214966,-19.89776611328125,0,5gram
Sparrows can be wiffed.,All birds can be wiffed.,sparrow,bird,can be,Sparrows,birds,2,2,-20.459582567214966,-19.89776611328125,0,5gram
Sparrows can be blicked.,All birds can be blicked.,sparrow,bird,can be,Sparrows,birds,2,3,-20.459582567214966,-19.89776611328125,0,5gram
Sparrows can be gyred.,All birds can be gyred.,sparrow,bird,can be,Sparrows,birds,2,4,-20.459582567214966,-19.89776611328125,0,5gram
Sparrows can be gimbled.,All birds can be gimbled.,sparrow,bird,can be,Sparrows,birds,2,5,-20.459582567214966,-19.89776611328125,0,5gram
Sparrows are beamish.,All birds are beamish.,sparrow,bird,are,Sparrows,birds,3,1,-16.942734599113464,-16.001476287841797,0,5gram
Sparrows are slithy.,All birds are slithy.,sparrow,bird,are,Sparrows,birds,3,2,-18.122918844223022,-17.18166160583496,0,5gram
Sparrows are mimsy.,All birds are mimsy.,sparrow,bird,are,Sparrows,birds,3,3,-18.122918844223022,-17.18166160583496,0,5gram
Sparrows are vorpal.,All birds are vorpal.,sparrow,bird,are,Sparrows,birds,3,4,-18.122918844223022,-17.18166160583496,0,5gram
Sparrows are frabjous.,All birds are frabjous.,sparrow,bird,are,Sparrows,birds,3,5,-18.122918844223022,-17.18166160583496,0,5gram
Sparrows use a wug.,All birds use a wug.,sparrow,bird,use a,Sparrows,birds,4,1,-20.422101974487305,-19.86028480529785,0,5gram
Sparrows use a fep.,All birds use a fep.,sparrow,bird,use a,Sparrows,birds,4,2,-19.288147807121277,-18.72633171081543,0,5gram
Sparrows use a blicket.,All birds use a blicket.,sparrow,bird,use a,Sparrows,birds,4,3,-20.422101974487305,-19.86028480529785,0,5gram
Sparrows use a jabberwock.,All birds use a jabberwock.,sparrow,bird,use a,Sparrows,birds,4,4,-19.438544392585754,-18.87672996520996,0,5gram
Sparrows use a tove.,All birds use a tove.,sparrow,bird,use a,Sparrows,birds,4,5,-19.74299132823944,-19.181175231933594,0,5gram
Sparrows love wugs.,All birds love wugs.,sparrow,bird,love,Sparrows,birds,5,1,-20.0343519449234,-19.472536087036133,0,5gram
Sparrows love feps.,All birds love feps.,sparrow,bird,love,Sparrows,birds,5,2,-20.0343519449234,-19.472536087036133,0,5gram
Sparrows love blickets.,All birds love blickets.,sparrow,bird,love,Sparrows,birds,5,3,-20.0343519449234,-19.472536087036133,0,5gram
Sparrows love jabberwocks.,All birds love jabberwocks.,sparrow,bird,love,Sparrows,birds,5,4,-20.0343519449234,-19.472536087036133,0,5gram
Sparrows love toves.,All birds love toves.,sparrow,bird,love,Sparrows,birds,5,5,-20.0343519449234,-19.472536087036133,0,5gram
Sparrows have wugs.,All birds have wugs.,sparrow,bird,have,Sparrows,birds,6,1,-18.19535183906555,-16.69580078125,0,5gram
Sparrows have feps.,All birds have feps.,sparrow,bird,have,Sparrows,birds,6,2,-18.19535183906555,-16.69580078125,0,5gram
Sparrows have blickets.,All birds have blickets.,sparrow,bird,have,Sparrows,birds,6,3,-18.19535183906555,-16.69580078125,0,5gram
Sparrows have jabberwocks.,All birds have jabberwocks.,sparrow,bird,have,Sparrows,birds,6,4,-18.19535183906555,-16.69580078125,0,5gram
Sparrows have toves.,All birds have toves.,sparrow,bird,have,Sparrows,birds,6,5,-18.19535183906555,-16.69580078125,0,5gram
Bluejays can dax.,All birds can dax.,bluejay,bird,can,Bluejays,birds,1,1,-18.334161639213562,-17.7723445892334,0,5gram
Bluejays can wif.,All birds can wif.,bluejay,bird,can,Bluejays,birds,1,2,-19.637741923332214,-19.075925827026367,0,5gram
Bluejays can blick.,All birds can blick.,bluejay,bird,can,Bluejays,birds,1,3,-18.524735689163208,-17.962919235229492,0,5gram
Bluejays can gyre.,All birds can gyre.,bluejay,bird,can,Bluejays,birds,1,4,-18.592257022857666,-18.030441284179688,0,5gram
Bluejays can gimble.,All birds can gimble.,bluejay,bird,can,Bluejays,birds,1,5,-19.637741923332214,-19.075925827026367,0,5gram
Bluejays can be daxed.,All birds can be daxed.,bluejay,bird,can be,Bluejays,birds,2,1,-20.459582567214966,-19.89776611328125,0,5gram
Bluejays can be wiffed.,All birds can be wiffed.,bluejay,bird,can be,Bluejays,birds,2,2,-20.459582567214966,-19.89776611328125,0,5gram
Bluejays can be blicked.,All birds can be blicked.,bluejay,bird,can be,Bluejays,birds,2,3,-20.459582567214966,-19.89776611328125,0,5gram
Bluejays can be gyred.,All birds can be gyred.,bluejay,bird,can be,Bluejays,birds,2,4,-20.459582567214966,-19.89776611328125,0,5gram
Bluejays can be gimbled.,All birds can be gimbled.,bluejay,bird,can be,Bluejays,birds,2,5,-20.459582567214966,-19.89776611328125,0,5gram
Bluejays are beamish.,All birds are beamish.,bluejay,bird,are,Bluejays,birds,3,1,-16.942734599113464,-16.001476287841797,0,5gram
Bluejays are slithy.,All birds are slithy.,bluejay,bird,are,Bluejays,birds,3,2,-18.122918844223022,-17.18166160583496,0,5gram
Bluejays are mimsy.,All birds are mimsy.,bluejay,bird,are,Bluejays,birds,3,3,-18.122918844223022,-17.18166160583496,0,5gram
Bluejays are vorpal.,All birds are vorpal.,bluejay,bird,are,Bluejays,birds,3,4,-18.122918844223022,-17.18166160583496,0,5gram
Bluejays are frabjous.,All birds are frabjous.,bluejay,bird,are,Bluejays,birds,3,5,-18.122918844223022,-17.18166160583496,0,5gram
Bluejays use a wug.,All birds use a wug.,bluejay,bird,use a,Bluejays,birds,4,1,-20.422101974487305,-19.86028480529785,0,5gram
Bluejays use a fep.,All birds use a fep.,bluejay,bird,use a,Bluejays,birds,4,2,-19.288147807121277,-18.72633171081543,0,5gram
Bluejays use a blicket.,All birds use a blicket.,bluejay,bird,use a,Bluejays,birds,4,3,-20.422101974487305,-19.86028480529785,0,5gram
Bluejays use a jabberwock.,All birds use a jabberwock.,bluejay,bird,use a,Bluejays,birds,4,4,-19.438544392585754,-18.87672996520996,0,5gram
Bluejays use a tove.,All birds use a tove.,bluejay,bird,use a,Bluejays,birds,4,5,-19.74299132823944,-19.181175231933594,0,5gram
Bluejays love wugs.,All birds love wugs.,bluejay,bird,love,Bluejays,birds,5,1,-20.0343519449234,-19.472536087036133,0,5gram
Bluejays love feps.,All birds love feps.,bluejay,bird,love,Bluejays,birds,5,2,-20.0343519449234,-19.472536087036133,0,5gram
Bluejays love blickets.,All birds love blickets.,bluejay,bird,love,Bluejays,birds,5,3,-20.0343519449234,-19.472536087036133,0,5gram
Bluejays love jabberwocks.,All birds love jabberwocks.,bluejay,bird,love,Bluejays,birds,5,4,-20.0343519449234,-19.472536087036133,0,5gram
Bluejays love toves.,All birds love toves.,bluejay,bird,love,Bluejays,birds,5,5,-20.0343519449234,-19.472536087036133,0,5gram
Bluejays have wugs.,All birds have wugs.,bluejay,bird,have,Bluejays,birds,6,1,-18.19535183906555,-16.69580078125,0,5gram
Bluejays have feps.,All birds have feps.,bluejay,bird,have,Bluejays,birds,6,2,-18.19535183906555,-16.69580078125,0,5gram
Bluejays have blickets.,All birds have blickets.,bluejay,bird,have,Bluejays,birds,6,3,-18.19535183906555,-16.69580078125,0,5gram
Bluejays have jabberwocks.,All birds have jabberwocks.,bluejay,bird,have,Bluejays,birds,6,4,-18.19535183906555,-16.69580078125,0,5gram
Bluejays have toves.,All birds have toves.,bluejay,bird,have,Bluejays,birds,6,5,-18.19535183906555,-16.69580078125,0,5gram
Bluebirds can dax.,All birds can dax.,bluebird,bird,can,Bluebirds,birds,1,1,-18.334161639213562,-17.7723445892334,0,5gram
Bluebirds can wif.,All birds can wif.,bluebird,bird,can,Bluebirds,birds,1,2,-19.637741923332214,-19.075925827026367,0,5gram
Bluebirds can blick.,All birds can blick.,bluebird,bird,can,Bluebirds,birds,1,3,-18.524735689163208,-17.962919235229492,0,5gram
Bluebirds can gyre.,All birds can gyre.,bluebird,bird,can,Bluebirds,birds,1,4,-18.592257022857666,-18.030441284179688,0,5gram
Bluebirds can gimble.,All birds can gimble.,bluebird,bird,can,Bluebirds,birds,1,5,-19.637741923332214,-19.075925827026367,0,5gram
Bluebirds can be daxed.,All birds can be daxed.,bluebird,bird,can be,Bluebirds,birds,2,1,-20.459582567214966,-19.89776611328125,0,5gram
Bluebirds can be wiffed.,All birds can be wiffed.,bluebird,bird,can be,Bluebirds,birds,2,2,-20.459582567214966,-19.89776611328125,0,5gram
Bluebirds can be blicked.,All birds can be blicked.,bluebird,bird,can be,Bluebirds,birds,2,3,-20.459582567214966,-19.89776611328125,0,5gram
Bluebirds can be gyred.,All birds can be gyred.,bluebird,bird,can be,Bluebirds,birds,2,4,-20.459582567214966,-19.89776611328125,0,5gram
Bluebirds can be gimbled.,All birds can be gimbled.,bluebird,bird,can be,Bluebirds,birds,2,5,-20.459582567214966,-19.89776611328125,0,5gram
Bluebirds are beamish.,All birds are beamish.,bluebird,bird,are,Bluebirds,birds,3,1,-16.942734599113464,-16.001476287841797,0,5gram
Bluebirds are slithy.,All birds are slithy.,bluebird,bird,are,Bluebirds,birds,3,2,-18.122918844223022,-17.18166160583496,0,5gram
Bluebirds are mimsy.,All birds are mimsy.,bluebird,bird,are,Bluebirds,birds,3,3,-18.122918844223022,-17.18166160583496,0,5gram
Bluebirds are vorpal.,All birds are vorpal.,bluebird,bird,are,Bluebirds,birds,3,4,-18.122918844223022,-17.18166160583496,0,5gram
Bluebirds are frabjous.,All birds are frabjous.,bluebird,bird,are,Bluebirds,birds,3,5,-18.122918844223022,-17.18166160583496,0,5gram
Bluebirds use a wug.,All birds use a wug.,bluebird,bird,use a,Bluebirds,birds,4,1,-20.422101974487305,-19.86028480529785,0,5gram
Bluebirds use a fep.,All birds use a fep.,bluebird,bird,use a,Bluebirds,birds,4,2,-19.288147807121277,-18.72633171081543,0,5gram
Bluebirds use a blicket.,All birds use a blicket.,bluebird,bird,use a,Bluebirds,birds,4,3,-20.422101974487305,-19.86028480529785,0,5gram
Bluebirds use a jabberwock.,All birds use a jabberwock.,bluebird,bird,use a,Bluebirds,birds,4,4,-19.438544392585754,-18.87672996520996,0,5gram
Bluebirds use a tove.,All birds use a tove.,bluebird,bird,use a,Bluebirds,birds,4,5,-19.74299132823944,-19.181175231933594,0,5gram
Bluebirds love wugs.,All birds love wugs.,bluebird,bird,love,Bluebirds,birds,5,1,-20.0343519449234,-19.472536087036133,0,5gram
Bluebirds love feps.,All birds love feps.,bluebird,bird,love,Bluebirds,birds,5,2,-20.0343519449234,-19.472536087036133,0,5gram
Bluebirds love blickets.,All birds love blickets.,bluebird,bird,love,Bluebirds,birds,5,3,-20.0343519449234,-19.472536087036133,0,5gram
Bluebirds love jabberwocks.,All birds love jabberwocks.,bluebird,bird,love,Bluebirds,birds,5,4,-20.0343519449234,-19.472536087036133,0,5gram
Bluebirds love toves.,All birds love toves.,bluebird,bird,love,Bluebirds,birds,5,5,-20.0343519449234,-19.472536087036133,0,5gram
Bluebirds have wugs.,All birds have wugs.,bluebird,bird,have,Bluebirds,birds,6,1,-18.19535183906555,-16.69580078125,0,5gram
Bluebirds have feps.,All birds have feps.,bluebird,bird,have,Bluebirds,birds,6,2,-18.19535183906555,-16.69580078125,0,5gram
Bluebirds have blickets.,All birds have blickets.,bluebird,bird,have,Bluebirds,birds,6,3,-18.19535183906555,-16.69580078125,0,5gram
Bluebirds have jabberwocks.,All birds have jabberwocks.,bluebird,bird,have,Bluebirds,birds,6,4,-18.19535183906555,-16.69580078125,0,5gram
Bluebirds have toves.,All birds have toves.,bluebird,bird,have,Bluebirds,birds,6,5,-18.19535183906555,-16.69580078125,0,5gram
Canaries can dax.,All birds can dax.,canary,bird,can,Canaries,birds,1,1,-18.334161639213562,-17.7723445892334,0,5gram
Canaries can wif.,All birds can wif.,canary,bird,can,Canaries,birds,1,2,-19.637741923332214,-19.075925827026367,0,5gram
Canaries can blick.,All birds can blick.,canary,bird,can,Canaries,birds,1,3,-18.524735689163208,-17.962919235229492,0,5gram
Canaries can gyre.,All birds can gyre.,canary,bird,can,Canaries,birds,1,4,-18.592257022857666,-18.030441284179688,0,5gram
Canaries can gimble.,All birds can gimble.,canary,bird,can,Canaries,birds,1,5,-19.637741923332214,-19.075925827026367,0,5gram
Canaries can be daxed.,All birds can be daxed.,canary,bird,can be,Canaries,birds,2,1,-20.459582567214966,-19.89776611328125,0,5gram
Canaries can be wiffed.,All birds can be wiffed.,canary,bird,can be,Canaries,birds,2,2,-20.459582567214966,-19.89776611328125,0,5gram
Canaries can be blicked.,All birds can be blicked.,canary,bird,can be,Canaries,birds,2,3,-20.459582567214966,-19.89776611328125,0,5gram
Canaries can be gyred.,All birds can be gyred.,canary,bird,can be,Canaries,birds,2,4,-20.459582567214966,-19.89776611328125,0,5gram
Canaries can be gimbled.,All birds can be gimbled.,canary,bird,can be,Canaries,birds,2,5,-20.459582567214966,-19.89776611328125,0,5gram
Canaries are beamish.,All birds are beamish.,canary,bird,are,Canaries,birds,3,1,-16.942734599113464,-16.001476287841797,0,5gram
Canaries are slithy.,All birds are slithy.,canary,bird,are,Canaries,birds,3,2,-18.122918844223022,-17.18166160583496,0,5gram
Canaries are mimsy.,All birds are mimsy.,canary,bird,are,Canaries,birds,3,3,-18.122918844223022,-17.18166160583496,0,5gram
Canaries are vorpal.,All birds are vorpal.,canary,bird,are,Canaries,birds,3,4,-18.122918844223022,-17.18166160583496,0,5gram
Canaries are frabjous.,All birds are frabjous.,canary,bird,are,Canaries,birds,3,5,-18.122918844223022,-17.18166160583496,0,5gram
Canaries use a wug.,All birds use a wug.,canary,bird,use a,Canaries,birds,4,1,-20.422101974487305,-19.86028480529785,0,5gram
Canaries use a fep.,All birds use a fep.,canary,bird,use a,Canaries,birds,4,2,-19.288147807121277,-18.72633171081543,0,5gram
Canaries use a blicket.,All birds use a blicket.,canary,bird,use a,Canaries,birds,4,3,-20.422101974487305,-19.86028480529785,0,5gram
Canaries use a jabberwock.,All birds use a jabberwock.,canary,bird,use a,Canaries,birds,4,4,-19.438544392585754,-18.87672996520996,0,5gram
Canaries use a tove.,All birds use a tove.,canary,bird,use a,Canaries,birds,4,5,-19.74299132823944,-19.181175231933594,0,5gram
Canaries love wugs.,All birds love wugs.,canary,bird,love,Canaries,birds,5,1,-20.0343519449234,-19.472536087036133,0,5gram
Canaries love feps.,All birds love feps.,canary,bird,love,Canaries,birds,5,2,-20.0343519449234,-19.472536087036133,0,5gram
Canaries love blickets.,All birds love blickets.,canary,bird,love,Canaries,birds,5,3,-20.0343519449234,-19.472536087036133,0,5gram
Canaries love jabberwocks.,All birds love jabberwocks.,canary,bird,love,Canaries,birds,5,4,-20.0343519449234,-19.472536087036133,0,5gram
Canaries love toves.,All birds love toves.,canary,bird,love,Canaries,birds,5,5,-20.0343519449234,-19.472536087036133,0,5gram
Canaries have wugs.,All birds have wugs.,canary,bird,have,Canaries,birds,6,1,-18.19535183906555,-16.69580078125,0,5gram
Canaries have feps.,All birds have feps.,canary,bird,have,Canaries,birds,6,2,-18.19535183906555,-16.69580078125,0,5gram
Canaries have blickets.,All birds have blickets.,canary,bird,have,Canaries,birds,6,3,-18.19535183906555,-16.69580078125,0,5gram
Canaries have jabberwocks.,All birds have jabberwocks.,canary,bird,have,Canaries,birds,6,4,-18.19535183906555,-16.69580078125,0,5gram
Canaries have toves.,All birds have toves.,canary,bird,have,Canaries,birds,6,5,-18.19535183906555,-16.69580078125,0,5gram
Blackbirds can dax.,All birds can dax.,blackbird,bird,can,Blackbirds,birds,1,1,-18.334161639213562,-17.7723445892334,0,5gram
Blackbirds can wif.,All birds can wif.,blackbird,bird,can,Blackbirds,birds,1,2,-19.637741923332214,-19.075925827026367,0,5gram
Blackbirds can blick.,All birds can blick.,blackbird,bird,can,Blackbirds,birds,1,3,-18.524735689163208,-17.962919235229492,0,5gram
Blackbirds can gyre.,All birds can gyre.,blackbird,bird,can,Blackbirds,birds,1,4,-18.592257022857666,-18.030441284179688,0,5gram
Blackbirds can gimble.,All birds can gimble.,blackbird,bird,can,Blackbirds,birds,1,5,-19.637741923332214,-19.075925827026367,0,5gram
Blackbirds can be daxed.,All birds can be daxed.,blackbird,bird,can be,Blackbirds,birds,2,1,-20.459582567214966,-19.89776611328125,0,5gram
Blackbirds can be wiffed.,All birds can be wiffed.,blackbird,bird,can be,Blackbirds,birds,2,2,-20.459582567214966,-19.89776611328125,0,5gram
Blackbirds can be blicked.,All birds can be blicked.,blackbird,bird,can be,Blackbirds,birds,2,3,-20.459582567214966,-19.89776611328125,0,5gram
Blackbirds can be gyred.,All birds can be gyred.,blackbird,bird,can be,Blackbirds,birds,2,4,-20.459582567214966,-19.89776611328125,0,5gram
Blackbirds can be gimbled.,All birds can be gimbled.,blackbird,bird,can be,Blackbirds,birds,2,5,-20.459582567214966,-19.89776611328125,0,5gram
Blackbirds are beamish.,All birds are beamish.,blackbird,bird,are,Blackbirds,birds,3,1,-16.942734599113464,-16.001476287841797,0,5gram
Blackbirds are slithy.,All birds are slithy.,blackbird,bird,are,Blackbirds,birds,3,2,-18.122918844223022,-17.18166160583496,0,5gram
Blackbirds are mimsy.,All birds are mimsy.,blackbird,bird,are,Blackbirds,birds,3,3,-18.122918844223022,-17.18166160583496,0,5gram
Blackbirds are vorpal.,All birds are vorpal.,blackbird,bird,are,Blackbirds,birds,3,4,-18.122918844223022,-17.18166160583496,0,5gram
Blackbirds are frabjous.,All birds are frabjous.,blackbird,bird,are,Blackbirds,birds,3,5,-18.122918844223022,-17.18166160583496,0,5gram
Blackbirds use a wug.,All birds use a wug.,blackbird,bird,use a,Blackbirds,birds,4,1,-20.422101974487305,-19.86028480529785,0,5gram
Blackbirds use a fep.,All birds use a fep.,blackbird,bird,use a,Blackbirds,birds,4,2,-19.288147807121277,-18.72633171081543,0,5gram
Blackbirds use a blicket.,All birds use a blicket.,blackbird,bird,use a,Blackbirds,birds,4,3,-20.422101974487305,-19.86028480529785,0,5gram
Blackbirds use a jabberwock.,All birds use a jabberwock.,blackbird,bird,use a,Blackbirds,birds,4,4,-19.438544392585754,-18.87672996520996,0,5gram
Blackbirds use a tove.,All birds use a tove.,blackbird,bird,use a,Blackbirds,birds,4,5,-19.74299132823944,-19.181175231933594,0,5gram
Blackbirds love wugs.,All birds love wugs.,blackbird,bird,love,Blackbirds,birds,5,1,-20.0343519449234,-19.472536087036133,0,5gram
Blackbirds love feps.,All birds love feps.,blackbird,bird,love,Blackbirds,birds,5,2,-20.0343519449234,-19.472536087036133,0,5gram
Blackbirds love blickets.,All birds love blickets.,blackbird,bird,love,Blackbirds,birds,5,3,-20.0343519449234,-19.472536087036133,0,5gram
Blackbirds love jabberwocks.,All birds love jabberwocks.,blackbird,bird,love,Blackbirds,birds,5,4,-20.0343519449234,-19.472536087036133,0,5gram
Blackbirds love toves.,All birds love toves.,blackbird,bird,love,Blackbirds,birds,5,5,-20.0343519449234,-19.472536087036133,0,5gram
Blackbirds have wugs.,All birds have wugs.,blackbird,bird,have,Blackbirds,birds,6,1,-18.19535183906555,-16.69580078125,0,5gram
Blackbirds have feps.,All birds have feps.,blackbird,bird,have,Blackbirds,birds,6,2,-18.19535183906555,-16.69580078125,0,5gram
Blackbirds have blickets.,All birds have blickets.,blackbird,bird,have,Blackbirds,birds,6,3,-18.19535183906555,-16.69580078125,0,5gram
Blackbirds have jabberwocks.,All birds have jabberwocks.,blackbird,bird,have,Blackbirds,birds,6,4,-18.19535183906555,-16.69580078125,0,5gram
Blackbirds have toves.,All birds have toves.,blackbird,bird,have,Blackbirds,birds,6,5,-18.19535183906555,-16.69580078125,0,5gram
Doves can dax.,All birds can dax.,dove,bird,can,Doves,birds,1,1,-18.334161639213562,-17.7723445892334,0,5gram
Doves can wif.,All birds can wif.,dove,bird,can,Doves,birds,1,2,-19.637741923332214,-19.075925827026367,0,5gram
Doves can blick.,All birds can blick.,dove,bird,can,Doves,birds,1,3,-18.524735689163208,-17.962919235229492,0,5gram
Doves can gyre.,All birds can gyre.,dove,bird,can,Doves,birds,1,4,-18.592257022857666,-18.030441284179688,0,5gram
Doves can gimble.,All birds can gimble.,dove,bird,can,Doves,birds,1,5,-19.637741923332214,-19.075925827026367,0,5gram
Doves can be daxed.,All birds can be daxed.,dove,bird,can be,Doves,birds,2,1,-20.459582567214966,-19.89776611328125,0,5gram
Doves can be wiffed.,All birds can be wiffed.,dove,bird,can be,Doves,birds,2,2,-20.459582567214966,-19.89776611328125,0,5gram
Doves can be blicked.,All birds can be blicked.,dove,bird,can be,Doves,birds,2,3,-20.459582567214966,-19.89776611328125,0,5gram
Doves can be gyred.,All birds can be gyred.,dove,bird,can be,Doves,birds,2,4,-20.459582567214966,-19.89776611328125,0,5gram
Doves can be gimbled.,All birds can be gimbled.,dove,bird,can be,Doves,birds,2,5,-20.459582567214966,-19.89776611328125,0,5gram
Doves are beamish.,All birds are beamish.,dove,bird,are,Doves,birds,3,1,-16.942734599113464,-16.001476287841797,0,5gram
Doves are slithy.,All birds are slithy.,dove,bird,are,Doves,birds,3,2,-18.122918844223022,-17.18166160583496,0,5gram
Doves are mimsy.,All birds are mimsy.,dove,bird,are,Doves,birds,3,3,-18.122918844223022,-17.18166160583496,0,5gram
Doves are vorpal.,All birds are vorpal.,dove,bird,are,Doves,birds,3,4,-18.122918844223022,-17.18166160583496,0,5gram
Doves are frabjous.,All birds are frabjous.,dove,bird,are,Doves,birds,3,5,-18.122918844223022,-17.18166160583496,0,5gram
Doves use a wug.,All birds use a wug.,dove,bird,use a,Doves,birds,4,1,-20.422101974487305,-19.86028480529785,0,5gram
Doves use a fep.,All birds use a fep.,dove,bird,use a,Doves,birds,4,2,-19.288147807121277,-18.72633171081543,0,5gram
Doves use a blicket.,All birds use a blicket.,dove,bird,use a,Doves,birds,4,3,-20.422101974487305,-19.86028480529785,0,5gram
Doves use a jabberwock.,All birds use a jabberwock.,dove,bird,use a,Doves,birds,4,4,-19.438544392585754,-18.87672996520996,0,5gram
Doves use a tove.,All birds use a tove.,dove,bird,use a,Doves,birds,4,5,-19.74299132823944,-19.181175231933594,0,5gram
Doves love wugs.,All birds love wugs.,dove,bird,love,Doves,birds,5,1,-20.0343519449234,-19.472536087036133,0,5gram
Doves love feps.,All birds love feps.,dove,bird,love,Doves,birds,5,2,-20.0343519449234,-19.472536087036133,0,5gram
Doves love blickets.,All birds love blickets.,dove,bird,love,Doves,birds,5,3,-20.0343519449234,-19.472536087036133,0,5gram
Doves love jabberwocks.,All birds love jabberwocks.,dove,bird,love,Doves,birds,5,4,-20.0343519449234,-19.472536087036133,0,5gram
Doves love toves.,All birds love toves.,dove,bird,love,Doves,birds,5,5,-20.0343519449234,-19.472536087036133,0,5gram
Doves have wugs.,All birds have wugs.,dove,bird,have,Doves,birds,6,1,-18.19535183906555,-16.69580078125,0,5gram
Doves have feps.,All birds have feps.,dove,bird,have,Doves,birds,6,2,-18.19535183906555,-16.69580078125,0,5gram
Doves have blickets.,All birds have blickets.,dove,bird,have,Doves,birds,6,3,-18.19535183906555,-16.69580078125,0,5gram
Doves have jabberwocks.,All birds have jabberwocks.,dove,bird,have,Doves,birds,6,4,-18.19535183906555,-16.69580078125,0,5gram
